A,B,C,D,E,F,G,H
47,279,824,3296,83,9,2504127,279
18,106,827,3308,52,87,1565661,106
67,403,47,189,59,33,1790199,403
1,3,678,2712,89,27,2670381,3
92,554,258,1032,58,13,1767639,554
93,555,576,2302,35,47,1078041,555
87,520,327,1309,71,91,2156373,520
22,129,241,965,51,93,1536879,129
3,19,840,3358,72,13,2160939,19
29,177,330,1320,71,45,2138835,177
73,437,420,1680,60,40,1822020,437
88,530,506,2024,17,60,536580,530
72,434,912,3646,77,15,2331645,434
10,63,927,3706,27,81,813243,63
48,287,657,2626,77,35,2324505,287
84,502,866,3466,50,89,1525467,502
6,39,737,2949,15,37,451911,39
70,418,376,1506,48,54,1461162,418
74,442,518,2073,27,9,832227,442
91,543,245,982,97,2,2937306,543
71,429,489,1955,54,57,1641471,429
88,530,444,1776,62,95,1886685,530
65,390,636,2543,78,62,2359686,390
92,554,75,299,10,80,327840,554
67,403,8,33,0,85,20355,403
96,578,23,92,35,20,1078860,578
81,484,103,414,60,19,1824357,484
53,316,249,995,87,5,2625915,316
70,418,987,3946,9,67,291201,418
12,73,246,986,72,74,2163822,73
31,186,194,776,64,76,1929528,186
30,179,532,2127,77,21,2319063,179
17,99,158,630,98,3,2945109,99
1,3,279,1117,94,77,2820531,3
69,416,492,1967,14,47,440841,416
45,268,489,1955,93,86,2803758,268
4,26,562,2247,40,25,1201275,26
57,343,132,528,87,47,2627241,343
75,451,17,70,77,16,2332548,451
79,475,56,226,68,73,2063919,475
90,538,456,1825,14,29,447087,538
58,347,885,3538,25,57,767571,347
10,63,122,487,34,42,1023126,63
19,116,797,3186,95,41,2855823,116
48,287,477,1910,5,74,164622,287
4,26,586,2346,75,96,2251488,26
3,19,67,269,28,8,840924,19
17,99,281,1124,79,68,2375304,99
77,464,137,546,9,44,293232,464
7,43,673,2691,71,20,2132160,43
23,135,525,2100,68,61,2047083,135
82,492,415,1659,23,17,714651,492
91,543,316,1266,8,39,267417,543
42,254,499,1994,40,93,1212879,254
29,177,616,2462,67,31,2018793,177
56,338,43,170,79,17,2386851,338
7,43,300,1202,75,18,2252154,43
48,287,316,1266,62,97,1874691,287
9,57,127,510,4,1,122703,57
53,316,550,2199,90,41,2716023,316
73,437,290,1159,69,30,2091990,437
25,149,952,3808,59,11,1777533,149
98,591,226,902,0,17,29451,591
38,225,365,1459,57,94,1721682,225
54,325,686,2744,13,70,406410,325
21,125,575,2301,6,95,186585,125
80,482,493,1971,32,76,984228,482
50,298,250,998,71,98,2145294,298
23,135,97,386,12,60,367080,135
70,418,794,3178,62,47,1881141,418
3,19,681,2722,93,79,2791137,19
16,94,345,1381,74,45,2224935,94
7,43,938,3754,37,85,1112355,43
99,592,75,299,31,94,959982,592
93,555,534,2136,71,76,2158128,555
75,451,262,1050,41,35,1252605,451
54,325,730,2919,83,64,2506392,325
45,268,165,660,40,72,1213716,268
33,201,154,616,19,36,580008,201
54,325,863,3452,58,22,1756266,325
88,530,448,1790,41,78,1256634,530
83,500,159,634,98,47,2965041,500
99,592,4,14,37,47,1139841,592
87,520,173,692,65,81,1976343,520
57,343,712,2848,74,99,2237397,343
93,555,863,3452,62,71,1888113,555
78,470,601,2403,40,27,1223481,470
77,464,254,1015,70,49,2123247,464
82,492,601,2403,33,40,1014720,492
1,3,78,314,59,57,1770471,3
21,125,473,1894,67,94,2016582,125
11,65,564,2257,34,5,1023315,65
89,535,899,3597,10,14,326742,535
10,63,398,1594,95,28,2853084,63
74,442,795,3181,80,96,2422488,442
21,125,324,1297,42,27,1266381,125
62,372,31,126,97,22,2928666,372
65,390,4,14,28,75,859725,390
40,243,718,2872,94,74,2832222,243
66,397,499,1994,37,91,1130073,397
42,254,77,309,16,21,492663,254
4,26,656,2625,45,55,1351365,26
14,86,986,3942,9,68,274404,86
69,416,606,2422,83,95,2510985,416
62,372,81,323,33,44,1008732,372
68,407,384,1538,10,40,320520,407
41,246,667,2666,55,79,1662537,246
69,416,684,2735,49,8,1490724,416
80,482,591,2365,24,7,744021,482
95,568,362,1447,96,50,2908650,568
61,363,640,2560,60,75,1818525,363
9,57,653,2610,32,22,962766,57
65,390,881,3526,90,83,2719749,390
76,453,532,2127,91,11,2752833,453
30,179,68,272,44,40,1329120,179
78,470,132,528,96,3,2903409,470
80,482,7,29,46,1,1404003,482
27,159,495,1981,48,75,1448325,159
12,73,55,222,6,38,183714,73
64,386,884,3535,5,1,169203,386
71,429,342,1369,88,24,2661372,429
86,515,209,836,52,50,1585950,515
17,99,38,152,5,94,155382,99
11,65,746,2982,80,85,2403555,65
45,268,256,1026,30,35,913605,268
92,554,157,627,58,92,1767876,554
37,220,871,3482,24,99,731397,220
9,57,491,1966,95,28,2852784,57
84,502,304,1214,55,19,1675257,502
70,418,365,1459,83,30,2511090,418
52,310,888,3553,92,54,2775762,310
68,407,967,3869,16,37,500511,407
51,306,520,2082,32,52,975456,306
80,482,293,1170,76,10,2304030,482
43,260,143,572,65,7,1962921,260
42,254,403,1612,90,92,2712876,254
32,195,231,924,56,98,1689894,195
60,361,534,2136,30,66,918198,361
82,492,384,1538,89,34,2694702,492
19,116,203,811,66,71,1985913,116
4,26,866,3466,48,84,1441452,26
95,568,319,1275,6,92,208776,568
15,88,547,2186,78,58,2344674,88
5,29,981,3926,72,21,2161563,29
19,116,115,462,77,59,2315877,116
46,274,479,1918,87,12,2623836,274
89,535,777,3107,63,7,1916721,535
46,274,807,3227,79,7,2383821,274
94,565,639,2554,27,13,838239,565
50,298,667,2666,95,26,2865078,298
61,363,73,291,27,11,828333,363
5,29,115,462,90,47,2701641,29
0,-1,547,2186,13,12,390036,-1
95,568,788,3151,90,50,2728650,568
64,386,104,415,67,43,2029329,386
1,3,207,828,5,55,150465,3
93,555,792,3170,62,18,1887954,555
98,591,832,3329,11,76,359628,591
70,418,514,2055,84,51,2541153,418
75,451,665,2660,88,3,2662509,451
39,237,442,1768,50,67,1511901,237
43,260,706,2826,73,16,2202948,260
67,403,755,3018,36,72,1100316,403
85,513,412,1646,14,33,445599,513
58,347,582,2327,60,37,1817511,347
80,482,646,2585,39,7,1194021,482
84,502,88,354,81,28,2455284,502
81,484,234,936,20,85,624555,484
52,310,588,2354,13,90,405870,310
29,177,421,1682,87,57,2618871,177
6,39,165,660,89,2,2671806,39
70,418,433,1733,83,48,2511144,418
38,225,284,1138,56,93,1691679,225
61,363,767,3070,87,22,2628366,363
58,347,493,1971,72,55,2177565,347
40,243,385,1542,75,53,2262159,243
7,43,371,1482,58,19,1742157,43
0,-1,360,1442,72,18,2160054,-1
49,293,839,3357,19,82,584946,293
7,43,541,2166,56,4,1682112,43
73,437,396,1586,16,35,502005,437
60,361,544,2176,61,39,1848117,361
75,451,921,3684,0,60,22680,451
54,325,996,3985,13,27,406281,325
83,500,604,2414,26,1,804903,500
34,204,586,2346,58,3,1750209,204
98,591,890,3558,40,78,1229634,591
90,538,697,2789,61,15,1857045,538
47,279,564,2257,89,88,2684364,279
4,26,667,2666,34,7,1021221,26
99,592,197,788,89,98,2699994,592
65,390,942,3767,40,29,1219587,390
24,141,222,890,30,32,907296,141
87,520,954,3815,37,86,1136358,520
51,306,669,2674,8,96,255588,306
8,49,514,2055,18,24,542472,49
72,434,443,1774,29,6,891618,434
51,306,318,1272,97,84,2925552,306
52,310,688,2753,5,87,165861,310
12,73,925,3701,66,66,1983798,73
9,57,750,2999,30,91,902973,57
24,141,684,2735,15,68,457404,141
42,254,127,510,80,82,2412846,254
24,141,209,836,5,4,157212,141
74,442,326,1306,71,60,2152380,442
77,464,574,2296,45,41,1373223,464
53,316,829,3316,92,29,2775987,316
12,73,840,3358,62,55,1863765,73
56,338,964,3856,23,34,706902,338
38,225,540,2160,57,69,1721607,225
62,372,594,2377,41,5,1248615,372
38,225,204,815,42,74,1271622,225
23,135,203,811,4,46,127038,135
