UniqueCarrier,AirlineID,TailNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin
4,20366,228,13422,1342202,30562,197
4,20366,255,13422,1342202,30562,197
4,20366,303,13422,1342202,30562,197
4,20366,325,13422,1342202,30562,197
4,20366,330,13422,1342202,30562,197
4,20366,349,13422,1342202,30562,197
4,20366,560,13422,1342202,30562,197
9,20304,2089,13487,1348702,31650,204
9,20304,2122,13487,1348702,31650,204
9,20304,2888,13487,1348702,31650,204
9,20304,2888,13487,1348702,31650,204
9,20304,3518,13487,1348702,31650,204
9,20304,3581,13487,1348702,31650,204
9,20304,3586,13487,1348702,31650,204
9,20304,3617,13487,1348702,31650,204
9,20304,3626,13487,1348702,31650,204
9,20304,3636,13487,1348702,31650,204
9,20304,2089,13930,1393002,30977,215
9,20304,2122,13930,1393002,30977,215
9,20304,2888,13930,1393002,30977,215
9,20304,2888,13930,1393002,30977,215
9,20304,3518,13930,1393002,30977,215
9,20304,3581,13930,1393002,30977,215
9,20304,3586,13930,1393002,30977,215
9,20304,3617,13930,1393002,30977,215
9,20304,3626,13930,1393002,30977,215
9,20304,3636,13930,1393002,30977,215
9,20304,3636,14570,1457002,34570,243
9,20304,3631,14679,1467903,33570,250
13,19393,574,14747,1474703,30559,258
13,19393,717,14747,1474703,30559,258
13,19393,4132,14747,1474703,30559,258
13,19393,574,14869,1486903,34614,268
13,19393,717,14869,1486903,34614,268
13,19393,3140,14869,1486903,34614,268
9,20304,3626,14869,1486903,34614,268
9,20304,3631,14869,1486903,34614,268
9,20304,3636,14869,1486903,34614,268
13,19393,4132,14869,1486903,34614,268
4,20366,41,11057,1105703,31057,64
4,20366,41,11057,1105703,31057,64
4,20366,47,11057,1105703,31057,64
4,20366,58,11057,1105703,31057,64
4,20366,84,11057,1105703,31057,64
4,20366,84,11057,1105703,31057,64
4,20366,94,11057,1105703,31057,64
4,20366,97,11057,1105703,31057,64
4,20366,100,11057,1105703,31057,64
4,20366,102,11057,1105703,31057,64
4,20366,121,11057,1105703,31057,64
4,20366,121,11057,1105703,31057,64
4,20366,142,11057,1105703,31057,64
4,20366,142,11057,1105703,31057,64
4,20366,148,11057,1105703,31057,64
4,20366,149,11057,1105703,31057,64
4,20366,155,11057,1105703,31057,64
4,20366,205,11057,1105703,31057,64
4,20366,217,11057,1105703,31057,64
4,20366,263,11057,1105703,31057,64
4,20366,289,11057,1105703,31057,64
4,20366,319,11057,1105703,31057,64
9,20304,1489,11433,1143302,31295,88
9,20304,1505,11433,1143302,31295,88
9,20304,1546,11433,1143302,31295,88
9,20304,1567,11433,1143302,31295,88
9,20304,1581,11433,1143302,31295,88
9,20304,1601,11433,1143302,31295,88
9,20304,1609,11433,1143302,31295,88
9,20304,1609,11433,1143302,31295,88
9,20304,1622,11433,1143302,31295,88
9,20304,1735,11433,1143302,31295,88
9,20304,3368,11433,1143302,31295,88
9,20304,3554,11433,1143302,31295,88
9,20304,3554,11433,1143302,31295,88
9,20304,3948,11433,1143302,31295,88
13,19393,1196,11540,1154003,30615,94
13,19393,2712,11540,1154003,30615,94
13,19393,2773,11540,1154003,30615,94
4,20366,41,11618,1161802,31703,99
4,20366,41,11618,1161802,31703,99
4,20366,47,11618,1161802,31703,99
4,20366,58,11618,1161802,31703,99
4,20366,84,11618,1161802,31703,99
4,20366,84,11618,1161802,31703,99
4,20366,94,11618,1161802,31703,99
4,20366,97,11618,1161802,31703,99
4,20366,100,11618,1161802,31703,99
4,20366,102,11618,1161802,31703,99
4,20366,107,11618,1161802,31703,99
4,20366,121,11618,1161802,31703,99
4,20366,142,11618,1161802,31703,99
4,20366,155,11618,1161802,31703,99
4,20366,155,11618,1161802,31703,99
4,20366,205,11618,1161802,31703,99
4,20366,217,11618,1161802,31703,99
4,20366,263,11618,1161802,31703,99
4,20366,286,11618,1161802,31703,99
4,20366,307,11618,1161802,31703,99
4,20366,618,11618,1161802,31703,99
9,20304,1489,11977,1197702,31977,120
9,20304,1505,11977,1197702,31977,120
9,20304,1567,11977,1197702,31977,120
9,20304,1593,11977,1197702,31977,120
