A,B,C,D,E,F,G,H
0,0,259,1036,0,34,102,25900
0,0,328,1312,0,53,159,32800
0,0,824,3296,0,74,222,82400
1,3,357,1428,0,72,516,35700
1,3,849,3396,0,49,447,84900
4,12,998,3992,0,43,1329,99800
4,12,723,2892,0,65,1395,72300
4,12,257,1028,0,50,1350,25700
4,12,884,3536,0,68,1404,88400
4,12,177,708,0,15,1245,17700
5,15,475,1900,0,45,1635,47500
5,15,362,1448,0,48,1644,36200
5,15,151,604,0,72,1716,15100
6,18,118,472,0,72,2016,11800
7,21,302,1208,0,69,2307,30200
7,21,422,1688,0,21,2163,42200
9,27,984,3936,0,69,2907,98400
10,30,942,3768,0,52,3156,94200
11,33,833,3332,0,54,3462,83300
13,39,29,116,0,91,4173,2900
13,39,443,1772,0,52,4056,44300
14,42,98,392,0,73,4419,9800
15,45,186,744,0,52,4656,18600
15,45,483,1932,0,31,4593,48300
18,54,655,2620,0,6,5418,65500
19,57,953,3812,0,53,5859,95300
20,60,466,1864,0,27,6081,46600
22,66,831,3324,0,71,6813,83100
22,66,318,1272,0,2,6606,31800
23,69,584,2336,0,44,7032,58400
23,69,276,1104,0,37,7011,27600
24,72,882,3528,0,61,7383,88200
24,72,458,1832,0,87,7461,45800
28,84,939,3756,0,97,8691,93900
30,90,294,1176,0,6,9018,29400
30,90,84,336,0,69,9207,8400
31,93,848,3392,0,49,9447,84800
32,96,58,232,0,46,9738,5800
35,105,353,1412,0,22,10566,35300
38,114,935,3740,0,18,11454,93500
39,117,10,40,0,95,11985,1000
40,120,152,608,0,44,12132,15200
40,120,302,1208,0,9,12027,30200
41,123,313,1252,0,97,12591,31300
41,123,716,2864,0,4,12312,71600
42,126,767,3068,0,21,12663,76700
42,126,989,3956,0,17,12651,98900
42,126,548,2192,0,41,12723,54800
43,129,827,3308,0,87,13161,82700
43,129,767,3068,0,1,12903,76700
43,129,786,3144,0,8,12924,78600
44,132,269,1076,0,58,13374,26900
44,132,674,2696,0,74,13422,67400
44,132,886,3544,0,88,13464,88600
45,135,858,3432,0,35,13605,85800
