A,B,C,D,E,F,G,H
91,545,744,2975,55,26,1677378,74455
60,363,350,1402,52,37,1578111,35052
74,442,174,695,19,53,592359,17419
69,411,393,1571,24,22,740766,39324
9,54,994,3978,0,5,2715,99400
67,402,749,2997,69,88,2090364,74969
74,442,616,2466,93,24,2812272,61693
18,109,554,2217,78,50,2345550,55478
40,240,492,1969,70,58,2112174,49270
24,141,412,1646,36,35,1087305,41236
63,378,59,238,5,86,169158,5905
58,347,72,287,2,93,77679,7202
92,554,958,3834,47,63,1437789,95847
67,402,249,995,89,10,2690130,24989
50,301,573,2291,23,28,705084,57323
23,138,636,2545,42,32,1266996,63642
69,411,677,2707,44,81,1340943,67744
90,539,851,3403,24,12,747036,85124
69,411,829,3317,12,8,380724,82912
15,91,673,2694,24,82,724746,67324
23,138,885,3538,83,46,2497038,88583
51,303,424,1695,85,45,2565435,42485
7,40,576,2306,70,46,2102238,57670
86,514,175,699,7,43,235929,17507
22,132,546,2185,32,61,966783,54632
78,468,1,4,67,76,2033628,167
27,159,341,1362,22,13,668139,34122
18,109,712,2848,68,1,2045403,71268
11,66,374,1495,87,39,2613417,37487
51,303,227,910,73,54,2205462,22773
22,132,878,3510,6,28,186684,87806
98,585,999,3994,74,95,2249685,99974
56,333,321,1283,59,28,1786884,32159
63,378,637,2547,3,34,109002,63703
77,461,591,2366,30,24,923172,59130
73,436,729,2918,90,34,2722002,72990
0,-2,962,3846,21,94,630282,96221
23,138,4,17,73,76,2197128,473
1,3,162,647,72,80,2160540,16272
47,280,449,1794,29,98,884394,44929
97,581,136,543,94,33,2849199,13694
76,457,749,2997,99,30,2992890,74999
31,188,739,2958,96,74,2889522,73996
84,507,622,2486,40,46,1225338,62240
35,208,189,755,55,77,1660731,18955
27,159,278,1114,97,74,2918322,27897
2,13,571,2285,72,48,2160744,57172
51,303,415,1660,0,88,15564,41500
13,77,265,1061,18,63,544089,26518
80,477,314,1258,30,44,924132,31430
1,3,639,2556,76,36,2280408,63976
75,450,288,1154,61,70,1852710,28861
3,15,708,2832,71,1,2130903,70871
61,366,763,3052,32,97,978591,76332
92,554,930,3721,83,81,2517843,93083
21,123,458,1830,37,21,1116363,45837
96,577,751,3004,49,96,1499088,75149
36,217,158,633,11,59,340977,15811
55,331,123,490,14,58,436674,12314
86,514,782,3130,7,38,235914,78207
56,333,731,2926,66,97,1997091,73166
15,91,516,2062,28,50,844650,51628
11,66,32,127,80,48,2403444,3280
8,45,856,3423,13,6,392418,85613
87,524,899,3596,79,84,2396352,89979
11,66,600,2398,15,59,453477,60015
40,240,605,2422,68,24,2052072,60568
65,388,207,827,38,36,1159608,20738
45,272,110,441,62,38,1873614,11062
83,498,290,1159,93,72,2815116,29093
52,312,274,1097,40,1,1215603,27440
47,280,762,3046,9,91,284373,76209
63,378,986,3946,54,55,1639065,98654
5,31,498,1993,84,38,2521614,49884
87,524,817,3269,74,36,2246208,81774
14,82,745,2980,60,66,1804398,74560
33,197,834,3338,82,99,2470197,83482
68,410,169,675,70,59,2120577,16970
38,229,293,1174,32,48,971544,29332
94,563,695,2779,21,44,658332,69521
74,442,729,2918,86,22,2602266,72986
66,393,821,3286,9,82,290046,82109
75,450,477,1906,5,82,172746,47705
44,263,205,820,94,22,2833266,20594
2,13,395,1578,62,88,1860864,39562
36,217,893,3570,99,94,2981082,89399
36,217,169,675,62,68,1871004,16962
36,217,697,2786,22,51,670953,69722
25,147,309,1238,12,25,367575,30912
24,141,101,405,4,58,127374,10104
79,474,216,863,64,9,1943727,21664
40,240,452,1806,5,73,162219,45205
90,539,200,800,42,8,1287024,20042
42,253,787,3150,30,94,912882,78730
34,201,543,2172,1,81,40443,54301
75,450,630,2519,3,24,112572,63003
36,217,158,633,49,89,1481067,15849
83,498,538,2150,12,72,385116,53812
93,555,271,1086,16,91,508173,27116
62,370,253,1011,50,21,1518663,25350
36,217,196,785,55,56,1660968,19655
36,217,790,3161,42,77,1271031,79042
42,253,124,496,59,77,1782831,12459
71,427,334,1338,55,73,1671519,33455
8,45,936,3745,86,91,2582673,93686
79,474,236,944,78,63,2363889,23678
7,40,232,928,58,31,1742193,23258
55,331,395,1578,28,65,856695,39528
4,24,126,505,5,31,151293,12605
49,295,462,1847,11,32,344796,46211
78,468,30,118,56,12,1703436,3056
20,123,924,3697,94,56,2826168,92494
54,321,73,290,7,32,226296,7307
38,229,512,2049,30,26,911478,51230
37,221,564,2258,67,76,2021328,56467
53,318,143,570,64,16,1935948,14364
73,436,192,767,56,52,1702056,19256
76,457,88,353,12,15,382845,8812
22,132,528,2110,30,53,906759,52830
11,66,780,3121,76,73,2283519,78076
28,170,121,486,89,59,2678577,12189
52,312,300,1202,81,19,2445657,30081
91,545,25,100,3,32,117396,2503
23,138,40,160,9,34,277002,4009
93,555,747,2986,5,23,177969,74705
40,240,900,3598,73,75,2202225,90073
88,531,431,1723,70,22,2126466,43170
69,411,138,551,10,32,320796,13810
73,436,327,1310,28,8,861924,32728
31,188,452,1806,75,53,2259459,45275
3,15,635,2540,61,26,1830978,63561
66,393,720,2878,67,57,2029971,72067
33,197,996,3985,5,90,160170,99605
93,555,449,1794,33,75,1018125,44933
60,363,846,3384,43,61,1308183,84643
56,333,923,3691,42,39,1276917,92342
5,31,297,1187,45,30,1351590,29745
30,182,876,3503,84,35,2529105,87684
13,77,20,80,45,82,1354146,2045
18,109,124,496,51,67,1535601,12451
37,221,985,3941,63,92,1901376,98563
19,115,107,428,11,65,335895,10711
25,147,548,2193,63,28,1897584,54863
12,72,702,2806,47,47,1413741,70247
87,524,960,3838,83,28,2516184,96083
42,253,154,617,92,97,2772891,15492
62,370,16,62,63,92,1908876,1663
72,435,849,3398,34,91,1041873,84934
2,13,212,849,87,25,2610675,21287
9,54,261,1046,26,43,782829,26126
62,370,885,3538,6,10,198630,88506
82,494,701,2803,59,74,1794822,70159
50,301,875,3499,56,48,1695144,87556
