A,B,C,D,E,F,G,H
58,346,601,2405,26,9,797427,346
10,60,661,2646,80,61,2403183,60
82,489,523,2090,50,57,1524771,489
31,189,291,1163,91,35,2739405,189
18,108,147,588,18,77,545631,108
63,377,265,1058,44,31,1338993,377
66,396,7,27,99,61,2989983,396
53,320,247,987,97,77,2926131,320
38,227,56,222,39,78,1181634,227
58,346,63,253,45,98,1367694,346
83,496,380,1519,36,75,1105125,496
70,418,871,3485,39,63,1191189,418
14,86,264,1058,85,30,2554290,86
8,46,702,2806,34,37,1022511,46
65,393,833,3332,58,94,1759782,393
23,141,501,2002,56,82,1687146,141
27,163,653,2612,6,78,188334,163
73,440,483,1931,54,73,1642119,440
91,544,153,612,6,84,207552,544
34,203,367,1469,59,46,1780338,203
92,553,978,3914,32,25,987675,553
16,94,120,478,39,41,1174923,94
81,483,551,2204,99,2,2994306,483
10,60,398,1593,99,96,2973288,60
90,537,935,3741,94,52,2847156,537
51,305,473,1891,52,46,1575438,305
74,444,207,830,29,18,892254,444
64,387,389,1555,97,0,2929200,387
39,237,85,342,96,83,2891949,237
9,56,217,868,29,36,872808,56
41,249,251,1005,70,15,2112345,249
17,105,517,2066,90,44,2705232,105
12,71,513,2054,10,69,303807,71
81,483,59,234,64,12,1944336,483
85,509,422,1686,31,67,955701,509
95,569,475,1898,16,78,508734,569
99,594,991,3965,3,16,119748,594
71,425,986,3943,59,5,1791315,425
57,339,254,1017,18,9,557127,339
52,310,189,755,34,49,1035747,310
25,148,807,3229,17,74,517722,148
15,90,131,525,68,46,2044638,90
74,444,926,3705,31,48,952344,444
96,573,318,1271,31,28,958884,573
67,404,845,3379,22,42,680226,404
1,8,564,2257,33,46,990438,8
74,444,109,437,97,41,2932323,444
98,585,906,3625,92,72,2789616,585
75,450,443,1774,47,30,1432590,450
6,39,277,1108,68,61,2041983,39
79,473,605,2421,89,58,2693874,473
75,450,797,3188,77,30,2332590,450
78,467,378,1512,13,96,413688,467
4,23,293,1170,4,65,121395,23
4,23,67,270,16,48,481344,23
37,225,965,3861,18,39,551217,225
8,46,238,952,34,68,1022604,46
61,365,293,1170,4,64,138492,365
71,425,533,2132,77,66,2331498,425
54,323,378,1512,71,31,2146293,323
79,473,302,1209,28,69,863907,473
31,189,770,3079,29,20,879360,189
45,272,878,3512,23,75,703725,272
67,404,975,3901,75,79,2270337,404
42,255,686,2745,51,22,1542666,255
3,18,421,1686,32,58,961074,18
6,39,578,2312,94,1,2821803,39
7,42,181,723,91,37,2732211,42
70,418,770,3079,30,27,921081,418
60,362,393,1573,20,3,618009,362
42,255,264,1058,34,70,1032810,255
54,323,87,350,81,3,2446209,323
19,117,308,1232,54,79,1625937,117
50,299,578,2312,80,75,2415225,299
3,18,143,571,29,48,871044,18
21,123,973,3890,67,9,2016327,123
54,323,389,1555,29,50,886350,323
28,166,289,1156,44,8,1328424,166
87,521,289,1156,41,68,1256304,521
66,396,605,2421,75,23,2269869,396
61,365,403,1614,39,99,1188597,365
47,285,899,3598,65,8,1964124,285
