A,B,C,D,E,F,G,H
50,150,46,184,94,87,2835261,4694
22,66,375,1500,50,73,1506819,37550
9,27,698,2792,96,69,2882907,69896
81,243,470,1880,62,83,1884549,47062
92,276,631,2524,1,16,57648,63101
22,66,112,448,12,66,366798,11212
9,27,960,3840,28,79,842937,96028
80,240,806,3224,72,95,2184285,80672
76,228,612,2448,84,15,2542845,61284
2,6,341,1364,78,95,2340885,34178
15,45,933,3732,50,71,1504713,93350
7,21,122,488,29,79,872337,12229
15,45,162,648,6,36,184608,16206
86,258,827,3308,26,10,805830,82726
93,279,179,716,55,45,1678035,17955
69,207,881,3524,93,18,2810754,88193
43,129,938,3752,42,16,1272948,93842
81,243,942,3768,73,33,2214399,94273
66,198,966,3864,97,92,2930076,96697
4,12,715,2860,36,54,1081362,71536
14,42,847,3388,14,82,424446,84714
34,102,824,3296,93,63,2800389,82493
87,261,485,1940,41,73,1256319,48541
65,195,143,572,44,41,1339623,14344
44,132,924,3696,39,48,1183344,92439
41,123,318,1272,32,84,972552,31832
55,165,665,2660,45,44,1366632,66545
23,69,243,972,71,22,2136966,24371
46,138,534,2136,51,70,1544010,53451
79,237,948,3792,59,54,1793862,94859
24,72,100,400,35,94,1057482,10035
80,240,565,2260,42,48,1284144,56542
49,147,277,1108,54,32,1634796,27754
65,195,17,68,56,61,1699683,1756
61,183,163,652,1,85,48555,16301
48,144,225,900,4,14,134442,22504
56,168,330,1320,63,84,1907052,33063
84,252,892,3568,73,68,2215404,89273
40,120,15,60,31,47,942141,1531
16,48,675,2700,67,80,2015040,67567
9,27,260,1040,1,69,32907,26001
82,246,264,1056,75,84,2274852,26475
58,174,592,2368,33,2,1007406,59233
53,159,887,3548,55,39,1666017,88755
60,180,258,1032,9,89,288267,25809
52,156,710,2840,87,5,2625615,71087
14,42,692,2768,6,38,184314,69206
13,39,278,1112,12,83,364149,27812
7,21,624,2496,65,61,1952283,62465
20,60,401,1604,90,35,2706105,40190
99,297,511,2044,30,64,929892,51130
34,102,579,2316,79,24,2380272,57979
72,216,84,336,36,40,1101720,8436
3,9,559,2236,87,58,2611074,55987
13,39,851,3404,58,90,1744170,85158
93,279,814,3256,19,89,598167,81419
96,288,633,2532,67,22,2038866,63367
84,252,574,2296,78,66,2365398,57478
0,0,970,3880,83,27,2490081,97083
43,129,527,2108,53,34,1603002,52753
59,177,767,3068,53,41,1607823,76753
77,231,100,400,85,4,2573112,10085
3,9,970,3880,23,0,690900,97023
71,213,343,1372,6,91,201573,34306
35,105,113,452,84,11,2530533,11384
44,132,275,1100,16,50,493350,27516
81,243,921,3684,20,83,624549,92120
25,75,371,1484,73,62,2197686,37173
59,177,943,3772,16,85,497955,94316
40,120,971,3884,27,62,822186,97127
64,192,194,776,58,52,1759356,19458
26,78,98,392,60,13,1807839,9860
4,12,892,3568,71,16,2131248,89271
15,45,82,328,77,84,2314752,8277
39,117,79,316,23,18,701754,7923
76,228,105,420,82,48,2482944,10582
84,252,35,140,46,75,1405425,3546
79,237,841,3364,5,9,173727,84105
32,96,486,1944,71,51,2139753,48671
83,249,659,2636,38,70,1165110,65938
31,93,126,504,96,45,2889435,12696
75,225,856,3424,86,57,2602671,85686
58,174,825,3300,85,55,2567565,82585
99,297,806,3224,27,24,839772,80627
98,294,232,928,87,51,2639553,23287
13,39,4,16,41,44,1234032,441
25,75,41,164,96,40,2887620,4196
53,159,627,2508,58,34,1756002,62758
89,267,548,2192,48,88,1466964,54848
21,63,583,2332,53,49,1596447,58353
14,42,123,492,51,6,1534218,12351
19,57,541,2164,67,93,2015979,54167
31,93,253,1012,58,3,1749309,25358
15,45,536,2144,11,20,334560,53611
37,111,855,3420,97,26,2921178,85597
41,123,525,2100,10,97,312591,52510
73,219,896,3584,25,13,771939,89625
15,45,620,2480,7,62,214686,62007
79,237,453,1812,85,72,2573916,45385
73,219,981,3924,59,64,1792092,98159
77,231,983,3932,89,61,2693283,98389
46,138,709,2836,39,30,1183890,70939
16,48,329,1316,13,74,395022,32913
7,21,203,812,44,11,1322133,20344
23,69,215,860,37,48,1117044,21537
97,291,497,1988,81,69,2459307,49781
47,141,608,2432,58,82,1754346,60858
34,102,800,3200,80,24,2410272,80080
77,231,500,2000,44,57,1343271,50044
14,42,333,1332,22,66,664398,33322
29,87,267,1068,52,43,1568829,26752
26,78,625,2500,4,16,127848,62504
12,36,12,48,21,67,633801,1221
21,63,354,1416,20,6,606318,35420
56,168,132,528,88,59,2656977,13288
47,141,412,1648,95,30,2864190,41295
96,288,834,3336,66,12,2008836,83466
45,135,136,544,12,98,373794,13612
90,270,135,540,81,32,2457096,13581
1,3,462,1848,33,43,990429,46233
11,33,748,2992,83,71,2493513,74883
42,126,706,2824,19,83,582849,70619
59,177,3,12,15,13,467739,315
7,21,868,3472,13,8,392124,86813
37,111,415,1660,48,98,1451394,41548
74,222,834,3336,28,25,862275,83428
40,120,90,360,89,35,2682105,9089
10,30,80,320,73,65,2193195,8073
