A,B,C,D,E,F,G,H
10,30,816,3264,0,55,3165,81600
42,126,388,1552,70,89,2112867,38870
78,234,532,2128,59,7,1793421,53259
50,150,526,2104,77,90,2325270,52677
87,261,630,2520,68,9,2066127,63068
91,273,598,2392,24,42,747426,59824
15,45,685,2740,44,84,1324752,68544
95,285,102,408,86,56,2608668,10286
64,192,876,3504,27,46,829338,87627
54,162,272,1088,71,16,2146248,27271
95,285,752,3008,36,57,1108671,75236
20,60,259,1036,60,12,1806036,25960
84,252,600,2400,62,27,1885281,60062
45,135,732,2928,91,49,2743647,73291
38,114,785,3140,58,28,1751484,78558
15,45,949,3796,32,20,964560,94932
26,78,48,192,62,1,1867803,4862
17,51,649,2596,27,37,815211,64927
48,144,111,444,30,41,914523,11130
7,21,195,780,96,49,2882247,19596
89,267,805,3220,94,10,2846730,80594
30,90,246,984,89,41,2679123,24689
47,141,500,2000,78,93,2354379,50078
20,60,191,764,6,61,186183,19106
79,237,287,1148,26,64,803892,28726
74,222,579,2316,48,40,1462320,57948
45,135,356,1424,42,8,1273524,35642
30,90,111,444,18,29,549087,11118
38,114,481,1924,21,37,641511,48121
34,102,735,2940,39,26,1180278,73539
8,24,193,772,35,85,1052655,19335
4,12,269,1076,75,57,2251371,26975
66,198,958,3832,52,73,1580019,95852
25,75,885,3540,49,43,1477629,88549
37,111,429,1716,25,8,761124,42925
11,33,169,676,66,23,1983369,16966
40,120,267,1068,1,60,42180,26701
66,198,928,3712,72,1,2179803,92872
45,135,617,2468,5,10,163530,61705
21,63,477,1908,88,69,2646507,47788
82,246,527,2108,71,43,2154729,52771
72,216,842,3368,5,24,171672,84205
67,201,133,532,44,47,1340241,13344
18,54,450,1800,13,22,395466,45013
74,222,295,1180,35,33,1072299,29535
40,120,39,156,83,53,2502159,3983
85,255,985,3940,93,21,2815563,98593
20,60,234,936,21,59,636177,23421
36,108,725,2900,65,77,1961031,72565
65,195,640,2560,32,73,979719,64032
31,93,987,3948,22,83,669549,98722
3,9,967,3868,91,58,2731074,96791
91,273,667,2668,92,4,2787312,66792
79,237,589,2356,29,91,893973,58929
62,186,592,2368,28,85,858855,59228
3,9,842,3368,65,15,1950945,84265
30,90,740,2960,35,36,1059108,74035
57,171,658,2632,17,21,527163,65817
52,156,543,2172,65,66,1965798,54365
21,63,397,1588,6,6,186318,39706
86,258,348,1392,28,6,865818,34828
69,207,254,1016,12,68,380904,25412
53,159,387,1548,8,19,255957,38708
68,204,645,2580,9,64,290592,64509
23,69,32,128,73,42,2197026,3273
20,60,351,1404,29,14,876042,35129
27,81,586,2344,52,62,1568286,58652
30,90,675,2700,91,2,2739006,67591
41,123,152,608,94,99,2832597,15294
85,255,507,2028,11,5,355515,50711
94,282,627,2508,41,77,1258431,62741
42,126,826,3304,68,54,2052762,82668
45,135,875,3500,13,15,403545,87513
84,252,555,2220,56,96,1705488,55556
84,252,492,1968,55,25,1675275,49255
60,180,983,3932,17,60,528180,98317
75,225,203,812,81,29,2452587,20381
22,66,192,768,53,7,1596621,19253
20,60,492,1968,12,85,366255,49212
82,246,684,2736,73,61,2214783,68473
96,288,282,1128,80,90,2429070,28280
70,210,187,748,83,39,2511117,18783
81,243,694,2776,96,0,2904300,69496
88,264,85,340,95,25,2876475,8595
20,60,812,3248,50,88,1506264,81250
39,117,896,3584,56,11,1691733,89656
