A,B,C,D,E,F,G,H
57,345,369,1476,73,16,2207148,36973
45,267,350,1401,19,1,583503,35019
8,47,25,100,21,32,632496,2521
13,77,315,1259,23,2,693906,31523
39,233,595,2381,61,8,1841724,59561
85,511,700,2801,27,70,835710,70027
89,531,228,913,14,29,446787,22814
74,447,261,1046,86,93,2602479,26186
23,140,446,1786,4,54,127062,44604
67,400,561,2245,71,67,2150301,56171
13,77,964,3855,93,26,2793978,96493
86,513,993,3971,44,99,1346097,99344
44,261,314,1256,2,9,73227,31402
39,233,424,1698,12,73,371919,42412
46,277,514,2054,54,33,1633899,51454
67,400,434,1736,86,95,2600385,43486
50,297,793,3172,70,19,2115057,79370
19,115,926,3702,20,4,605712,92620
80,483,392,1569,51,96,1554288,39251
81,487,517,2066,57,0,1734300,51757
96,578,410,1641,18,82,569046,41018
0,-2,763,3054,27,76,810228,76327
14,82,618,2474,9,34,274302,61809
25,152,9,36,37,7,1117521,937
14,82,241,965,41,74,1234422,24141
68,405,587,2347,4,56,140568,58704
18,106,73,291,34,63,1025589,7334
58,347,333,1330,58,46,1757538,33358
89,531,8,30,11,68,356904,811
38,225,988,3952,76,95,2291685,98876
58,347,569,2275,67,29,2027487,56967
90,543,659,2635,86,55,2607165,65986
44,261,373,1492,37,26,1123278,37337
63,375,88,353,36,97,1099191,8836
30,182,581,2323,20,72,609216,58120
67,400,888,3554,76,59,2300277,88876
14,82,593,2370,14,38,424314,59314
40,243,195,779,48,39,1452117,19548
54,324,918,3673,52,69,1576407,91852
41,246,703,2812,59,61,1782483,70359
36,219,906,3625,73,58,2200974,90673
67,400,27,106,70,42,2120226,2770
4,21,449,1795,25,16,751248,44925
78,471,229,915,77,45,2333535,22977
53,316,371,1484,24,57,736071,37124
27,164,535,2138,51,56,1538268,53551
71,428,416,1662,8,51,261453,41608
81,487,472,1888,10,61,324483,47210
18,106,754,3014,48,47,1445541,75448
13,77,693,2770,97,95,2914185,69397
44,261,202,807,90,23,2713269,20290
69,417,41,164,40,46,1220838,4140
88,531,534,2136,60,26,1826478,53460
12,75,558,2234,85,4,2553612,55885
96,578,902,3607,86,22,2608866,90286
61,369,528,2114,71,57,2148471,52871
95,569,805,3220,92,67,2788701,80592
55,328,70,281,29,81,886743,7029
